,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,4,0.7963,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",32550061
1,1,0,0.5369,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",32889938
2,2,2,0.7109,"apolloprovid, vue, load, initialst, __typenam, react, store, compon, prop, usequeri",34614569
3,3,4,0.9455,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",37049219
4,4,2,0.764,"apolloprovid, vue, load, initialst, __typenam, react, store, compon, prop, usequeri",37198281
5,5,1,0.5468,"__typenam, name, string, field, updat, type, key, resolv, label, read",37484883
6,6,2,0.7916,"apolloprovid, vue, load, initialst, __typenam, react, store, compon, prop, usequeri",38914699
7,7,0,0.9543,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",38985177
8,8,4,0.9254,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",39495512
9,9,2,0.8143,"apolloprovid, vue, load, initialst, __typenam, react, store, compon, prop, usequeri",40205741
10,10,4,0.6061,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",40562727
11,11,1,0.9369,"__typenam, name, string, field, updat, type, key, resolv, label, read",40687823
12,12,0,0.9744,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",40754499
13,13,0,0.9849,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",41107002
14,14,1,0.8892,"__typenam, name, string, field, updat, type, key, resolv, label, read",41306580
15,15,0,0.6601,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",41852880
16,16,0,0.976,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",42379873
17,17,2,0.5865,"apolloprovid, vue, load, initialst, __typenam, react, store, compon, prop, usequeri",42604115
18,18,3,0.7271,"oper, split, apollolink, resolv, forward_oper, pass, onerror, fetchpolici, await, subscript",42674182
19,19,4,0.625,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",42723989
20,20,3,0.7905,"oper, split, apollolink, resolv, forward_oper, pass, onerror, fetchpolici, await, subscript",42896746
21,21,0,0.9835,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",43239046
22,22,0,0.8968,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",43413740
23,23,1,0.824,"__typenam, name, string, field, updat, type, key, resolv, label, read",43796121
24,24,0,0.9522,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",43851276
25,25,4,0.5052,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",43977636
26,26,4,0.4561,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",44030489
27,27,4,0.5497,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",44352658
28,28,4,0.5738,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",44391707
29,29,4,0.9626,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",44403930
30,30,3,0.638,"oper, split, apollolink, resolv, forward_oper, pass, onerror, fetchpolici, await, subscript",44479036
31,31,0,0.604,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",44509832
32,32,4,0.565,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",44605984
33,33,1,0.85,"__typenam, name, string, field, updat, type, key, resolv, label, read",44676712
34,34,0,0.7148,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",44815430
35,35,0,0.4686,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",44871885
36,36,0,0.7821,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",45073087
37,37,2,0.6656,"apolloprovid, vue, load, initialst, __typenam, react, store, compon, prop, usequeri",45155052
38,38,2,0.8811,"apolloprovid, vue, load, initialst, __typenam, react, store, compon, prop, usequeri",45165211
39,39,4,0.9609,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",45167412
40,40,0,0.5066,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",45229106
41,41,4,0.4945,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",45254897
42,42,0,0.9373,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",45290643
43,43,0,0.6676,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",45316127
44,44,2,0.5733,"apolloprovid, vue, load, initialst, __typenam, react, store, compon, prop, usequeri",45461745
45,45,1,0.9686,"__typenam, name, string, field, updat, type, key, resolv, label, read",45533730
46,46,4,0.5383,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",45724314
47,47,1,0.9737,"__typenam, name, string, field, updat, type, key, resolv, label, read",45922127
48,48,0,0.97,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",46023367
49,49,0,0.5563,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",46024722
50,50,3,0.9569,"oper, split, apollolink, resolv, forward_oper, pass, onerror, fetchpolici, await, subscript",46069683
51,51,1,0.937,"__typenam, name, string, field, updat, type, key, resolv, label, read",46078763
52,52,4,0.8109,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",46134134
53,53,0,0.964,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",46207754
54,54,0,0.6326,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",46216285
55,55,4,0.6231,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",46247714
56,56,0,0.6101,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",46257557
57,57,1,0.6231,"__typenam, name, string, field, updat, type, key, resolv, label, read",46349512
58,58,0,0.74,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",46480742
59,59,0,0.6327,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",46635701
60,60,0,0.7197,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",46656426
61,61,0,0.6533,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",46701878
62,62,4,0.4934,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",46735567
63,63,1,0.4556,"__typenam, name, string, field, updat, type, key, resolv, label, read",46829721
64,64,0,0.9486,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",46965564
65,65,4,0.9687,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",47027283
66,66,4,0.6357,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",47052329
67,67,0,0.9659,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",47066093
68,68,0,0.9594,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",47104382
69,69,2,0.6974,"apolloprovid, vue, load, initialst, __typenam, react, store, compon, prop, usequeri",47109964
70,70,4,0.7546,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",47156532
71,71,0,0.9484,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",47282972
72,72,0,0.357,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",47287449
73,73,2,0.9186,"apolloprovid, vue, load, initialst, __typenam, react, store, compon, prop, usequeri",47352698
74,74,0,0.5771,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",47405124
75,75,4,0.9641,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",47443858
76,76,4,0.5206,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",47552640
77,77,4,0.9716,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",47608258
78,78,4,0.7604,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",47620181
79,79,2,0.6106,"apolloprovid, vue, load, initialst, __typenam, react, store, compon, prop, usequeri",47641590
80,80,0,0.979,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",47683688
81,81,0,0.9718,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",47703589
82,82,0,0.9682,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",47752292
83,83,4,0.8186,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",47767503
84,84,4,0.9086,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",47879016
85,85,2,0.5639,"apolloprovid, vue, load, initialst, __typenam, react, store, compon, prop, usequeri",47896009
86,86,1,0.7879,"__typenam, name, string, field, updat, type, key, resolv, label, read",47897516
87,87,0,0.4854,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",47940127
88,88,4,0.9368,"type, string, launch, undefin, network_error, modul, name, error_messag, load, ngmodul",47950455
89,89,2,0.9317,"apolloprovid, vue, load, initialst, __typenam, react, store, compon, prop, usequeri",47982840
90,90,0,0.5924,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",47984778
91,91,0,0.8626,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",47992725
92,92,3,0.4325,"oper, split, apollolink, resolv, forward_oper, pass, onerror, fetchpolici, await, subscript",47999808
93,93,1,0.963,"__typenam, name, string, field, updat, type, key, resolv, label, read",48005732
94,94,3,0.6424,"oper, split, apollolink, resolv, forward_oper, pass, onerror, fetchpolici, await, subscript",48055232
95,95,0,0.8917,"cooki, apolloprovid, react, await, cor, credenti, compon, store, load, login",48094333
