topiccount,cv,stability,
5,0.5337853940181672,0.8680257056338806,
6,0.53287283,0.893860399,
7,0.5517225297160907,0.9019677021605864,
8,0.5358070113627669,0.8911020594822624,
9,0.5446883717371475,0.9070079571971555,
10,0.5537639931619653,0.9114418209929045,
11,0.5517206420714461,0.913576957,
12,0.5607390004885267,0.9067337986326635,
13,0.5483535997098604,0.9382402810600003,
14,0.5730222969002258,0.9244334080910817,
15,0.5542601841800165,0.9287937247173574,
16,0.5548065433205238,0.9396865010061606,
17,0.5396445386569911,0.9375512688206187,
18,0.5552300739068555,0.9435385115209677,
19,0.5362787871196386,0.9425704519561454,
20,0.5405625912551535,0.9423457903179265,
21,0.5278320172927768,0.9439703366726808,
22,0.5417469745517187,0.945325798,
23,0.5421034493312087,0.9521388860263541,
24,0.5509019715077796,0.9520351385418466,
25,0.5500948216788494,0.9497293938718087,
26,0.5492351113929291,0.957777355,
27,0.5521484902157604,0.9556887979029933,
28,0.5273945410371004,0.9594528207144305,
29,0.5513236693004601,0.9551891443905961,
30,0.5388068139753667,0.956393463,
31,0.5369442733817309,0.9632480685162198,
32,0.5454810992785853,0.9596105806245124,
33,0.5380202582753701,0.9663007786846796,
34,0.5238852145547533,0.9583094069571942,
35,0.5335378118635558,0.9685874115728161,
36,0.5296408975055166,0.9671526712849382,
37,0.5179877133470333,0.9637102222241539,
38,0.5286800953947551,0.96810001,
39,0.5241285751623214,0.9651592401612246,
40,0.524715478,0.965488033,
41,0.5193685408414913,0.9648473053064156,
42,0.5196590818866927,0.9654513177290707,
43,0.5157448457978532,0.9682295494016998,
44,0.5395861067325769,0.9698611387465873,
45,0.5221314448333997,0.9661010740714903,
46,0.5192649475521145,0.9724563036112367,
47,0.517047655,0.9724504411119257,
48,0.5122590283309475,0.9761015249179591,
49,0.5037777071506166,0.9714915102986119,
50,0.50404351,0.972469677,
